
	Lev	Material	Component	Object description	Quantity	BUn	Document	MS	Group	GrC	Task list description	ValCl
	 1	3339584-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
	 1	3339585-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
	 1	3339586-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
	 1	3344280-450	3344280	LEG OTTO PHF	  1.000	EA	3344280,B					RAW
	 1	3344280-450	2507476	PWDR 450 FOG	  0.040	LB						RAW
	 1	3344280-450	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3344280-450	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3344280-450	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3363861-N	3177966	TUBE 14GA RD 0.75 OD X 240	  0.034	EA						RAW
	 1	3367787-450	3367787	GLD 458	  1.000	EA	3367787,C					RAW
	 1	3367787-450	2507476	PWDR 450 FOG	  0.010	LB						RAW
	 1	3367787-450	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3367787-450	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3367787-450	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3367787-458	3367787	GLD 458	  1.000	EA	3367787,C					RAW
	 1	3367787-458	3406759	PWDR 458 RESPITE GREY	  0.010	LB						RAW
	 1	3367787-458	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3367787-458	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3367787-458	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3370486-450	3370486	LEG RECL RH GLD PFP	  1.000	EA	3370486,C					RAW
	 1	3370486-450	2507476	PWDR 450 FOG	  0.080	LB						RAW
	 1	3370486-450	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3370486-450	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3370486-450	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3370486-458	3370486	LEG RECL RH GLD PFP	  1.000	EA	3370486,C					RAW
	 1	3370486-458	3406759	PWDR 458 RESPITE GREY	  0.080	LB						RAW
	 1	3370486-458	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3370486-458	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3370486-458	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3370487-450	3370487	LEG RECL LH GLD PFP	  1.000	EA	3370487,C					RAW
	 1	3370487-450	2507476	PWDR 450 FOG	  0.080	LB						RAW
	 1	3370487-450	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3370487-450	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
	 2	3370487-450	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3370487-458	3370487	LEG RECL LH GLD PFP	  1.000	EA	3370487,C					RAW
	 1	3370487-458	3406759	PWDR 458 RESPITE GREY	  0.080	LB						RAW
	 1	3370487-458	2941470	SINGLE WALL FANFOLD 1 LINEAR FOOT	  0.670	FT						RAW
	 1	3370487-458	2209421	FOAM WRAP 1 LINEAR FOOT	  0.165	FT		99				SEMI
